Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,1574.000000,1604.349976,1556.900024,1560.550049,1560.550049,85491
2020-09-04,1554.000000,1599.949951,1545.349976,1574.650024,1574.650024,85092
2020-09-07,1588.250000,1669.949951,1580.550049,1625.949951,1625.949951,272134
2020-09-08,1636.500000,1684.000000,1610.000000,1635.250000,1635.250000,156923
2020-09-09,1617.000000,1660.000000,1617.000000,1639.800049,1639.800049,145126
2020-09-10,1665.000000,1694.849976,1645.050049,1669.449951,1669.449951,134563
2020-09-11,1676.000000,1700.000000,1647.000000,1674.949951,1674.949951,145594
2020-09-14,1675.000000,1767.000000,1675.000000,1728.000000,1728.000000,347354
2020-09-15,1726.000000,1807.500000,1726.000000,1778.599976,1778.599976,300383
2020-09-16,1790.000000,1801.000000,1751.000000,1772.400024,1772.400024,94779
2020-09-17,1770.000000,1800.000000,1750.000000,1763.500000,1763.500000,88815
2020-09-18,1777.000000,1790.000000,1661.000000,1697.900024,1697.900024,859170
2020-09-21,1730.000000,1742.699951,1639.000000,1694.650024,1694.650024,214883
2020-09-22,1680.250000,1699.000000,1592.000000,1606.150024,1606.150024,134117
2020-09-23,1616.650024,1650.000000,1580.000000,1588.099976,1588.099976,64855
2020-09-24,1575.000000,1613.449951,1526.000000,1545.800049,1545.800049,47820
2020-09-25,1550.099976,1573.199951,1540.000000,1543.599976,1543.599976,57963
2020-09-28,1560.000000,1590.550049,1535.000000,1576.849976,1576.849976,109121
2020-09-29,1584.000000,1595.000000,1562.550049,1574.199951,1574.199951,57096
2020-09-30,1581.900024,1597.449951,1565.000000,1575.150024,1575.150024,22669
2020-10-01,1580.000000,1595.949951,1561.300049,1569.050049,1569.050049,55333
2020-10-05,1570.000000,1585.000000,1556.000000,1567.449951,1567.449951,52809
2020-10-06,1577.250000,1594.900024,1571.050049,1578.949951,1578.949951,60446
2020-10-07,1587.000000,1612.000000,1575.000000,1589.500000,1589.500000,48979
2020-10-08,1590.000000,1598.949951,1560.099976,1563.099976,1563.099976,56941
2020-10-09,1570.849976,1583.599976,1545.000000,1557.800049,1557.800049,776156
2020-10-12,1571.349976,1596.900024,1553.500000,1588.599976,1588.599976,44705
2020-10-13,1590.000000,1611.750000,1560.000000,1563.750000,1563.750000,50835
2020-10-14,1563.750000,1580.599976,1541.000000,1544.900024,1544.900024,57919
2020-10-15,1552.599976,1555.050049,1511.349976,1518.000000,1518.000000,30867
2020-10-16,1511.000000,1569.050049,1511.000000,1517.250000,1517.250000,77546
2020-10-19,1530.000000,1546.900024,1512.500000,1518.199951,1518.199951,54411
2020-10-20,1528.000000,1547.949951,1518.000000,1538.099976,1538.099976,97454
2020-10-21,1538.150024,1549.550049,1507.599976,1515.500000,1515.500000,27938
2020-10-22,1523.000000,1525.900024,1505.000000,1509.800049,1509.800049,127770
2020-10-23,1519.949951,1523.900024,1501.000000,1504.150024,1504.150024,20594
2020-10-26,1511.650024,1518.800049,1482.800049,1491.349976,1491.349976,17165
2020-10-27,1490.000000,1519.000000,1483.000000,1495.650024,1495.650024,58773
2020-10-28,1496.000000,1515.050049,1496.000000,1498.750000,1498.750000,11523
2020-10-29,1480.000000,1489.949951,1468.050049,1480.349976,1480.349976,26168
2020-10-30,1485.050049,1490.000000,1461.000000,1464.750000,1464.750000,18208
2020-11-02,1470.000000,1472.050049,1402.650024,1409.050049,1409.050049,42165
2020-11-03,1401.050049,1426.949951,1395.800049,1404.150024,1404.150024,52781
2020-11-04,1409.000000,1426.500000,1391.000000,1395.400024,1395.400024,42381
2020-11-05,1410.000000,1430.000000,1398.000000,1410.099976,1410.099976,50264
2020-11-06,1418.000000,1423.400024,1395.449951,1400.550049,1400.550049,56387
2020-11-09,1407.000000,1425.000000,1405.000000,1409.750000,1409.750000,79166
2020-11-10,1423.000000,1429.500000,1405.000000,1413.550049,1413.550049,48301
2020-11-11,1418.099976,1448.000000,1405.099976,1442.199951,1442.199951,47147
2020-11-12,1442.000000,1468.750000,1413.000000,1430.250000,1430.250000,90183
2020-11-13,1427.000000,1435.000000,1410.000000,1428.349976,1428.349976,47680
2020-11-17,1450.000000,1454.349976,1432.500000,1444.050049,1444.050049,37928
2020-11-18,1442.000000,1449.050049,1421.000000,1429.000000,1429.000000,19728
2020-11-19,1430.000000,1497.900024,1430.000000,1484.599976,1484.599976,98686
